index,name,activity,celebrity_indice,ic,phone_number,web_site,adresse,town
1,L'îlot Vins Cluny - Martinique,Cave à vins,"4,4 (13)",57,+596 596 60 29 43,//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwji6e6Jn8WFAxVhQEECHXhMBnIYABAAGgJ3cw&ase=2&gclid=EAIaIQobChMI4unuiZ_FhQMVYUBBAh14TAZyEBAYASAAEgIOYfD_BwE&ohost=www.google.com&cid=CAASE-RoETbEtEPE_E9vtHkTZbzQ3X8&sig=AOD64_2KJtY2sNG4KITPOuUW0lJ8U99c0A&adurl&q&ctype=99&nis=5,Centre Commercial Cluny,Fort-de-France
2,InterCaves,Caviste,"4,6 (14)",64,+596 596 73 27 59,N/A,5-7 D45,Fort-de-France
3,Nicolas le Rond-point Martinique,Caviste,"4,9 (25)",123,+596 596 79 95 35,N/A,"Centre Commercial Le Rond Point, Route du Phare",Fort-de-France
