index,name,activity,celebrity_indice,ic,phone_number,web_site,adresse,town
1,Visites guidées à pied de Fort de France,Agence de visites touristiques,"4,9 (96)",470,+596 696 32 94 72,N/A,Place de la Discidence Front de mer,Fort-de-France
2,Fort Saint-Louis [visites guidées],Site historique,"4,5 (72)",324,+596 596 80 00 70,https://terresducentremartinique.fr/,29 Rue Victor Hugo,Fort-de-France
