index,name,activity,celebrity_indice,phone_number,web_site,adresse
164,AGENCE BRIAU (NSIA Assurances),Agence d'assurance,N/A N/A,66 66 44 28,N/A,66 66 44 28
165,Africaine des assurances,Agence d'assurance,N/A N/A,https://www.google.com/maps/place/Africaine+des+assurances/data=!4m7!3m6!1s0x10235609a356d981:0xf49f6861a469e036!8m2!3d6.3878756!4d2.3794881!16s%2Fg%2F11ddywhscx!19sChIJgdlWowlWIxARNuBppGFon_Q?authuser=0&hl=fr&rclk=1,N/A,"99QH+5Q5, Rue 2651"
166,Africaine des Assurances,Agence d'assurance,N/A N/A,https://www.google.com/maps/place/Africaine+des+Assurances/data=!4m7!3m6!1s0x102355ed7ab38fa7:0x49e5a6d7c1975b05!8m2!3d6.3908758!4d2.3992593!16s%2Fg%2F11g6x5vb0k!19sChIJp4-zeu1VIxARBVuXwdem5Uk?authuser=0&hl=fr&rclk=1,N/A,99RX+9P2
167,DALAS INTERNATIONAL SARL,Agence d'assurance pour locataires,N/A N/A,https://www.google.com/maps/place/DALAS+INTERNATIONAL+SARL/data=!4m7!3m6!1s0x102355d3c792160b:0x15aa597a7e378a1f!8m2!3d6.3834467!4d2.4282587!16s%2Fg%2F11j7j3w5md!19sChIJCxaSx9NVIxARH4o3fnpZqhU?authuser=0&hl=fr&rclk=1,N/A,9CMH+98C
168,MOHAMED BILL,Agence d'assurance,N/A N/A,https://www.google.com/maps/place/MOHAMED+BILL/data=!4m7!3m6!1s0x1023553ffd2a2165:0x389aded40ba85c3!8m2!3d6.3686194!4d2.4301769!16s%2Fg%2F11t1sfj2pc!19sChIJZSEq_T9VIxARw4W6QO2tiQM?authuser=0&hl=fr&rclk=1,N/A,9C9J+C3V
169,Atlantique Assurance Benin - Agence JMB Sarl,Agence d'assurance,"3,5 (4)",61 01 40 62,N/A,"99V6+3GG, Rue 2180"
170,Africa Brokers' Company-Courtier d'Assurances,Courtier d'assurances,"4,8 (13)",66 33 55 55,https://www.africabrokersonline.com/,"Carrefour ""16 ampoules"
171,ASCOMA BENIN,Agence d'assurance,"4,1 (43)",21 31 31 24,https://www.ascoma.com/ascoma-benin/,Scoa Gbéto – Lot 210 Maison SODOGANDJI
172,AZANIA Assurance (Sanlam),Agence d'assurance,N/A N/A,91 38 25 25,N/A,"SCOA, AZANIA ASSURANCE Rue pavée de l'immeuble amani meubles"
173,EMEREK,Agence d'assurance,"5,0 (1)",99 20 50 50,N/A,"9C7W+5X9, Rue 1200"
174,DOUDEDJI MJP ASSURANCE,Agence d'assurance,N/A N/A,97 19 26 10,N/A,AKPAKPA
175,Agence (SNS) d'Assurance SANLAM,Agence d'assurance,"5,0 (1)",95 45 45 58,N/A,"995C+4W7, Rue 2137"
