index,name,activity,celebrity_indice,phone_number,web_site,adresse
1,AQUALAB COTONOU,Aquarium,"5,0 (7)",https://www.google.com/maps/place/AQUALAB+COTONOU/data=!4m7!3m6!1s0x103cab845639d5dd:0xeeab1595a3b473e8!8m2!3d6.378001!4d2.476016!16s%2Fg%2F11gsn3np9r!19sChIJ3dU5VoSrPBAR6HO0o5UVq-4?authuser=0&hl=fr&rclk=1,N/A,"Eglise Catholique Sainte Trinité, Rue 1322"
2,AQUA PLUS BÉNIN,Aquarium,"5,0 (1)",https://www.google.com/maps/place/AQUA+PLUS+B%C3%89NIN/data=!4m7!3m6!1s0x102357a61554b469:0xd590b3f500936c89!8m2!3d6.3734713!4d2.3572521!16s%2Fg%2F11rk0blh17!19sChIJabRUFaZXIxARiWyTAPWzkNU?authuser=0&hl=fr&rclk=1,N/A,229
3,LMJ-AQUART,Aquarium,"5,0 (16)",https://www.google.com/maps/place/LMJ-AQUART/data=!4m7!3m6!1s0x1024a9d9b0476f25:0x2e8cd00decca280d!8m2!3d6.3783112!4d2.4108483!16s%2Fg%2F11kcnf9742!19sChIJJW9HsNmpJBARDSjK7A3QjC4?authuser=0&hl=fr&rclk=1,N/A,"temple du son, à 100 mettre"
4,AQUARIUM BÉNIN,Animalerie,"5,0 (1)",https://www.google.com/maps/place/AQUARIUM+B%C3%89NIN/data=!4m7!3m6!1s0x1023577ab99e44d3:0x532074b57335ad0d!8m2!3d6.3574833!4d2.3641917!16s%2Fg%2F11sz48ykm5!19sChIJ00SeuXpXIxARDa01c7V0IFM?authuser=0&hl=fr&rclk=1,N/A,01bp2651
5,ROLIW SERVICES,Aquarium,"5,0 (2)",https://www.google.com/maps/place/ROLIW+SERVICES/data=!4m7!3m6!1s0x103cab567f6f88c1:0x74a19a11f9783a25!8m2!3d6.3778792!4d2.4899147!16s%2Fg%2F11ls6mxbnp!19sChIJwYhvf1arPBARJTp4-RGaoXQ?authuser=0&hl=fr&rclk=1,N/A,N/A
6,Abdias informatique plus,Aquarium,N/A N/A,https://www.google.com/maps/place/Abdias+informatique+plus/data=!4m7!3m6!1s0x1023552537bc4b59:0x8cde7bc61dff2ff5!8m2!3d6.3799309!4d2.3898166!16s%2Fg%2F11j9056j85!19sChIJWUu8NyVVIxAR9S__HcZ73ow?authuser=0&hl=fr&rclk=1,N/A,Pb 45
