index,name,activity,celebrity_indice,phone_number,web_site,adresse
76,Sté Mobilier plus Sarl,Magasin d'ameublement et de décoration,"5,0 (2)",60 69 28 28,N/A,556
77,luxe Décor Plus,Vente d'électroménager en gros,N/A N/A,96 02 02 71,N/A,96 02 02 71
78,Papeterie Nolimits,Papeterie,"4,3 (12)",97 38 33 33,N/A,"08 BP 906 Carrefou CABOMA, 4ème immeuble à droite en allant vers"
79,Bénin Mobilier,Atelier de menuiserie,N/A N/A,52 77 99 99,N/A,229
80,vente,Vente d'électroménager en gros,N/A N/A,https://www.google.com/maps/place/vente/data=!4m7!3m6!1s0x102355510030791b:0xe47aa9fdaccf2d33!8m2!3d6.3833835!4d2.4282744!16s%2Fg%2F11s9m4qvd0!19sChIJG3kwAFFVIxARMy3PrP2peuQ?authuser=0&hl=fr&rclk=1,N/A,9CMH+982
81,PRODUITS AUTHENTIQUES,Accessoires mobiliers,"5,0 (1)",91 47 47 24,N/A,91 47 47 24
82,Noukpo Design Studio,Magasin d'ameublement et de décoration,"4,3 (3)",94 58 09 98,N/A,94 58 09 98
83,Les Rideaux et Draps VIVO,Magasin d'ameublement et de décoration,"5,0 (2)",95 85 91 05,N/A,95 85 91 05
84,Like électro 1er,Vente d'électroménager en gros,N/A N/A,97 37 61 89,N/A,104
85,ADESAM FURNITURE COMPANY,Fabricant de meubles,"5,0 (1)",https://www.google.com/maps/place/ADESAM+FURNITURE+COMPANY/data=!4m7!3m6!1s0x102355181833b4ef:0xede3da3dc639c0ef!8m2!3d6.3702928!4d2.3912362!16s%2Fg%2F11sgqg7mhb!19sChIJ77QzGBhVIxAR78A5xj3a4-0?authuser=0&hl=fr&rclk=1,N/A,Tunde motors
86,Fugola Benin,Vendeur de meubles en gros,N/A N/A,https://www.google.com/maps/place/Fugola+Benin/data=!4m7!3m6!1s0x10235508d54f7ebf:0xde2b07c391956702!8m2!3d6.364215!4d2.4000971!16s%2Fg%2F11rhq2f9dq!19sChIJv35P1QhVIxARAmeVkcMHK94?authuser=0&hl=fr&rclk=1,N/A,"9C72+M2, Rue 560"
87,Evaket : Magasin et Courses en Ligne,Librairie,"3,0 (2)",95 15 26 26,N/A,95 15 26 26
88,LIÈL COPORATE,Boutique d'accessoires de mode,N/A N/A,96 67 89 86,N/A,"9FGF+2WH, Akpakpa"
89,Home et Déco,Bazar,"5,0 (3)",91 50 69 69,N/A,Ave Van Vollenhoven
90,WAL BENIN,Magasin d'ameublement et de décoration,"4,5 (2)",95 77 22 62,N/A,"99QG+5FP, Rue 2863"
91,D'or et de style by Michell'in Benin,Boutique d'accessoires de mode,N/A N/A,97 69 47 05,N/A,BP 4078
92,Ets Decor Meuble Et Services,Fournisseur de bois,N/A N/A,53 97 91 48,N/A,C 1010 Par P Mson Honou Qtier Aidjedo Cotonou Benin
93,Afimilyar textile,Magasin de tissus,"5,0 (2)",https://www.google.com/maps/place/Afimilyar+textile/data=!4m7!3m6!1s0x10235598978c698f:0x55b27f642e0aae9c!8m2!3d6.3798681!4d2.4204644!16s%2Fg%2F11rgpc4tl5!19sChIJj2mMl5hVIxARnK4KLmR_slU?authuser=0&hl=fr&rclk=1,N/A,Rue 140
94,Triomphe Market,Vente d'électroménager en gros,N/A N/A,97 37 61 89,N/A,1393
95,ETS LODECI,Vendeur de meubles en gros,N/A N/A,https://www.google.com/maps/place/ETS+LODECI/data=!4m7!3m6!1s0x103cabc9e008cf81:0xb0f74552c545eb51!8m2!3d6.3726249!4d2.4722584!16s%2Fg%2F11rh05h9c4!19sChIJgc8I4MmrPBARUetFxVJF97A?authuser=0&hl=fr&rclk=1,N/A,"9FFC+2WR, Rue 1600"
96,Ets AKLASEP,Magasin de tissus,"4,0 (2)",https://www.google.com/maps/place/Ets+AKLASEP/data=!4m7!3m6!1s0x10235578e088e407:0x29902d05d2a766b7!8m2!3d6.3683889!4d2.4317911!16s%2Fg%2F11jp041118!19sChIJB-SI4HhVIxARt2an0gUtkCk?authuser=0&hl=fr&rclk=1,N/A,Feu Sogema Carrefour Dantokpa Carre 389
97,Fabrice fasion Dubien,Vente d'électroménager en gros,N/A N/A,52 80 17 40,N/A,52801740
98,Meubles Déco,Tapissier décorateur,N/A N/A,https://www.google.com/maps/place/Meubles+D%C3%A9co/data=!4m7!3m6!1s0x1024a9ce60afe06f:0xfc68ef978311c9aa!8m2!3d6.4503024!4d2.3468195!16s%2Fg%2F11tg6cslp0!19sChIJb-CvYM6pJBARqskRg5fvaPw?authuser=0&hl=fr&rclk=1,N/A,F82W+4PG
99,SODIREP Sarl,Magasin d'ameublement et de décoration,"3,9 (17)",21 31 46 19,N/A,21 31 46 19
100,Ets Francko Mobiles Rideaux Inter,Magasin de rideaux,N/A N/A,97 28 26 43,N/A,"98PW+6WF, RNIE1"
101,Ets Césaire et fils,Vente d'électroménager en gros,"5,0 (1)",95 56 26 03,N/A,95562603. /97980165
102,N Meuble Déco,Magasin de meubles,"5,0 (1)",61 09 09 09,N/A,C: 12432 Agori
103,Boutique Matelas PEB,Magasin de literie,N/A N/A,58 38 71 65,N/A,58 38 71 65
104,Cica Shop & Hair,Magasin de tissus,"5,0 (4)",95 84 26 12,N/A,00229 En face du prison civile Cotonou
105,OLAM,Magasin de mobilier pour supermarchés et boutiques,N/A N/A,https://www.google.com/maps/place/OLAM/data=!4m7!3m6!1s0x1024a93d15447a43:0x5b2d78119365b7f5!8m2!3d6.4416047!4d2.3474965!16s%2Fg%2F11jn4f99_q!19sChIJQ3pEFT2pJBAR9bdlkxF4LVs?authuser=0&hl=fr&rclk=1,N/A,C8RW+JXX
106,Kouleurs d'Afrik,Magasin,"4,4 (26)",91 51 58 58,N/A,Les cocotiers sur la route de l'aéroport de Cadjèhoun 01 BP 4259
107,Meubles SAVI,Accessoires mobiliers,N/A N/A,https://www.google.com/maps/place/Meubles+SAVI/data=!4m7!3m6!1s0x103b515fcc8ce249:0xc137b6ed0082cb75!8m2!3d6.4935357!4d2.615829!16s%2Fg%2F11j1b_pd7k!19sChIJSeKMzF9ROxARdcuCAO22N8E?authuser=0&hl=fr&rclk=1,N/A,3ème Arrondissement
108,MSK Concept,Décorateur d'intérieur,"4,6 (5)",91 29 24 24,N/A,Rue 110 - 08B414
109,Mobile and Accessories shop,Centre commercial,"3,0 (1)",96 25 27 48,N/A,Rue 753
110,Boutique Woodin Ganhi,Magasin de vêtements,"4,3 (125)",96 55 46 16,N/A,Rue des Hindous
111,BENIN MEUBLES et DECORS,Magasin de meubles,N/A N/A,96 68 58 23,N/A,BP 44 Sème-Podji
112,ByPS.Creation,Boutique d'articles de mode,"4,7 (19)",96 27 53 03,N/A,96 27 53 03
113,CONCEPT STORE VESTIAIRE ORIGINAL,Magasin de vêtements,"4,4 (15)",97 06 89 05,N/A,Camp guezo Maison 276 . Face à l’entrée de l’hôpital Militaire
114,LADDECICA,Magasin de meubles,"4,0 (2)",67 64 68 59,N/A,C85Q+92
115,Showroom Batimat Missebo,Quincaillerie,"4,1 (145)",99 01 65 77,N/A,Ave Delorme
116,ETS DOSPA DECOR,Vitrerie - miroiterie,N/A N/A,96 92 60 29,N/A,05 BP 1452 AKPAKPA
117,Albarika Shop,Magasin de vêtements,"5,0 (5)",61 92 59 21,N/A,Rue 512
118,Showroom Batimat Maro Militaire,Magasin de materiaux de construction,"4,5 (51)",90 15 74 51,N/A,"9C7C+JW9, Rue 204"
119,400 meubles et décors,Boutique d'articles de mode,N/A N/A,https://www.google.com/maps/place/400+meubles+et+d%C3%A9cors/data=!4m7!3m6!1s0x1024a9722b1b4e0f:0xd1895106471c6b91!8m2!3d6.4148174!4d2.3454801!16s%2Fg%2F11tx1y27pn!19sChIJD04bK3KpJBARkWscRwZRidE?authuser=0&hl=fr&rclk=1,N/A,"en face de l ORTB, www.400meublesetdecors.com"
120,COMA MEUBLE & DéCOR,Magasin d'ameublement et de décoration,"5,0 (3)",97 60 78 42,N/A,Godomey à côté de station MRS non loin de CEG Godomey
121,Artkintayo,Designer d'intérieur,N/A N/A,62 46 11 11,N/A,01 BP 7370
122,New Land Electro Benin,Magasin d'électroménager,"4,1 (16)",97 55 51 66,N/A,"JNP, +22997555166 Cotonou carrefour la vie en face station"
123,Ameublement COFFI,Magasin d'ameublement et de décoration,N/A N/A,https://www.google.com/maps/place/Ameublement+COFFI/data=!4m7!3m6!1s0x103cab57fbb20201:0xccb0c29b24696348!8m2!3d6.367081!4d2.4700679!16s%2Fg%2F11kcck0llp!19sChIJAQKy-1erPBARSGNpJJvCsMw?authuser=0&hl=fr&rclk=1,N/A,"9F8C+R2P, RNIE1"
124,Sté MEUBLES BÉNIN,Fabricant de meubles,N/A N/A,https://www.google.com/maps/place/St%C3%A9+MEUBLES+B%C3%89NIN/data=!4m7!3m6!1s0x103cab37c3f94607:0x8a9a3a761a7c773!8m2!3d6.3771144!4d2.464822!16s%2Fg%2F11nnqljjm6!19sChIJB0b5wzerPBARc8enYaejqQg?authuser=0&hl=fr&rclk=1,N/A,"9FG7+RWW, Rue 1110"
