index,name,activity,celebrity_indice,phone_number,web_site,adresse
1,AQUALAB COTONOU,Aquarium,"5,0 (7)",https://www.google.com/maps/place/AQUALAB+COTONOU/data=!4m7!3m6!1s0x103cab845639d5dd:0xeeab1595a3b473e8!8m2!3d6.378001!4d2.476016!16s%2Fg%2F11gsn3np9r!19sChIJ3dU5VoSrPBAR6HO0o5UVq-4?authuser=0&hl=fr&rclk=1,N/A,"Eglise Catholique Sainte Trinité, Rue 1322"
2,AQUA PLUS BÉNIN,Aquarium,"5,0 (1)",https://www.google.com/maps/place/AQUA+PLUS+B%C3%89NIN/data=!4m7!3m6!1s0x102357a61554b469:0xd590b3f500936c89!8m2!3d6.3734713!4d2.3572521!16s%2Fg%2F11rk0blh17!19sChIJabRUFaZXIxARiWyTAPWzkNU?authuser=0&hl=fr&rclk=1,N/A,229
3,LMJ-AQUART,Aquarium,"5,0 (16)",https://www.google.com/maps/place/LMJ-AQUART/data=!4m7!3m6!1s0x1024a9d9b0476f25:0x2e8cd00decca280d!8m2!3d6.3783112!4d2.4108483!16s%2Fg%2F11kcnf9742!19sChIJJW9HsNmpJBARDSjK7A3QjC4?authuser=0&hl=fr&rclk=1,N/A,"temple du son, à 100 mettre"
4,AQUARIUM BÉNIN,Animalerie,"5,0 (1)",https://www.google.com/maps/place/AQUARIUM+B%C3%89NIN/data=!4m7!3m6!1s0x1023577ab99e44d3:0x532074b57335ad0d!8m2!3d6.3574833!4d2.3641917!16s%2Fg%2F11sz48ykm5!19sChIJ00SeuXpXIxARDa01c7V0IFM?authuser=0&hl=fr&rclk=1,N/A,01bp2651
5,ROLIW SERVICES,Aquarium,"5,0 (2)",https://www.google.com/maps/place/ROLIW+SERVICES/data=!4m7!3m6!1s0x103cab567f6f88c1:0x74a19a11f9783a25!8m2!3d6.3778792!4d2.4899147!16s%2Fg%2F11ls6mxbnp!19sChIJwYhvf1arPBARJTp4-RGaoXQ?authuser=0&hl=fr&rclk=1,N/A,N/A
6,Abdias informatique plus,Aquarium,N/A N/A,https://www.google.com/maps/place/Abdias+informatique+plus/data=!4m7!3m6!1s0x1023552537bc4b59:0x8cde7bc61dff2ff5!8m2!3d6.3799309!4d2.3898166!16s%2Fg%2F11j9056j85!19sChIJWUu8NyVVIxAR9S__HcZ73ow?authuser=0&hl=fr&rclk=1,N/A,Pb 45
7,Botanico Bénin,Jardin botanique,"5,0 (2)",https://www.google.com/maps/place/Botanico+B%C3%A9nin/data=!4m7!3m6!1s0x1023554f813198bb:0x60a78a6d9a9ee283!8m2!3d6.3508882!4d2.3894442!16s%2Fg%2F11tnkzdm_c!19sChIJu5gxgU9VIxARg-Kemm2Kp2A?authuser=0&hl=fr&rclk=1,N/A,"et EREVAN, Boulevard de la Marina Entre UNICEF"
8,Jardin de Cadjehoun,Jardin,"5,0 (1)",https://www.google.com/maps/place/Jardin+de+Cadjehoun/data=!4m7!3m6!1s0x102355d226c833f3:0x1488ada3797a1ded!8m2!3d6.3556472!4d2.3990925!16s%2Fg%2F11q434hvf2!19sChIJ8zPIJtJVIxAR7R16eaOtiBQ?authuser=0&hl=fr&rclk=1,N/A,994X+7J4
9,Place Bernadin GANTIN,Jardin communautaire,"3,9 (78)",https://www.google.com/maps/place/Place+Bernadin+GANTIN/data=!4m7!3m6!1s0x1023544c3c95339f:0x497a12e57574b99a!8m2!3d6.3550233!4d2.4075183!16s%2Fg%2F11g6xb4c5m!19sChIJnzOVPExUIxARmrl0deUSekk?authuser=0&hl=fr&rclk=1,N/A,9C45+222
10,JARDIN BOTANIQUE ET ZOLOGIQUE,Jardin,"4,2 (56)",https://www.google.com/maps/place/JARDIN+BOTANIQUE+ET+ZOLOGIQUE/data=!4m7!3m6!1s0x1024a9778e2ec9f3:0x85798b4e012a57e7!8m2!3d6.4192201!4d2.3443037!16s%2Fg%2F11n5bqhd4f!19sChIJ88kujnepJBAR51cqAU6LeYU?authuser=0&hl=fr&rclk=1,N/A,C89V+MPM
11,L'Anastasie,Jardin botanique,"4,0 (6)",https://www.google.com/maps/place/L%27Anastasie/data=!4m7!3m6!1s0x1024a9623506c26f:0xadb4e85dd6458cd5!8m2!3d6.4679475!4d2.3343734!16s%2Fg%2F11hhtq0m0z!19sChIJb8IGNWKpJBAR1YxF1l3otK0?authuser=0&hl=fr&rclk=1,N/A,04 0363
12,Jardin Public Houeyiho,Jardin,N/A N/A,https://www.google.com/maps/place/Jardin+Public+Houeyiho/data=!4m7!3m6!1s0x10235514269694c3:0xfecaaf8d32e54aca!8m2!3d6.3677024!4d2.3935162!16s%2Fg%2F11ryctgzvb!19sChIJw5SWJhRVIxARykrlMo2vyv4?authuser=0&hl=fr&rclk=1,N/A,999V+3CJ
13,Garden of Eves,Jardin,N/A N/A,https://www.google.com/maps/place/Garden+of+Eves/data=!4m7!3m6!1s0x10235597b7e5f3b5:0xebfe1e640e8ad57a!8m2!3d6.359835!4d2.4544573!16s%2Fg%2F11trwqljfp!19sChIJtfPlt5dVIxARetWKDmQe_us?authuser=0&hl=fr&rclk=1,N/A,9F53+WRW
14,Sezer tayfun taşyürek parc,Parc,N/A N/A,https://www.google.com/maps/place/Sezer+tayfun+ta%C5%9Fy%C3%BCrek+parc/data=!4m7!3m6!1s0x102355a9f0349189:0x2b8ab1141bc35dfa!8m2!3d6.3535389!4d2.4056515!16s%2Fg%2F11st6dly8c!19sChIJiZE08KlVIxAR-l3DGxSxiis?authuser=0&hl=fr&rclk=1,N/A,"9C34+F7X, Rte De L'Aéroport"
15,Maison avocevou,Jardin,"2,0 (2)",https://www.google.com/maps/place/Maison+avocevou/data=!4m7!3m6!1s0x1023596cd760e585:0x8075318dee6434e7!8m2!3d6.391616!4d2.2350715!16s%2Fg%2F11tfhys9n7!19sChIJheVg12xZIxAR5zRk7o0xdYA?authuser=0&hl=fr&rclk=1,N/A,96RP+J2W
16,Ton Jardin,Jardinerie,"5,0 (2)",https://www.google.com/maps/place/Ton+Jardin/data=!4m7!3m6!1s0x1023559b75e5bc21:0xbd89e2d2ffd71b7d!8m2!3d6.3598394!4d2.4161505!16s%2Fg%2F11qsnshyqp!19sChIJIbzldZtVIxARfRvX_9Liib0?authuser=0&hl=fr&rclk=1,N/A,00229
