index,name,activity,celebrity_indice,phone_number,web_site,adresse
1,Bijouterie le DIAMONO,Bijouterie,"3,3 (7)",97 84 40 22,N/A,03BP3792
2,Bijouterie GUISSE DIAMANTAIRE,Bijouterie,"5,0 (3)",52 20 88 88,N/A,52 20 88 88
3,El-Gringo Bijoux DeLuxe Bénin,Vendeur de bijoux en gros,"5,0 (24)",96 25 91 13,N/A,0229
4,bijouterie la maison des bijoux authentiques,Bijouterie,"4,9 (124)",64 50 28 49,N/A,Ave de la Victoire
5,BIJOUTERIE AMOUR D'OR,Bijouterie,"4,6 (14)",61 31 14 21,N/A,99R8+R2
6,La maison des bijoux,Bijoutier,"4,8 (320)",64 50 28 49,N/A,"la maison des bijoux est à sikekodji derrière la place bicentenaire, Cotonou Rue 410"
7,Bijouterie Lingot d'Or,Bijouterie,"4,5 (19)",98 58 94 85,N/A,"Sainte rita 100 mètre avant le feu de la station total en quittant gbèdjromèdé 774, Rue 150"
8,METAL'OR AFRIQUE,Entreprise de construction,N/A N/A,96 02 04 42,N/A,N/A
9,ETASSA HOUEFFA,Acheteur de diamants,N/A N/A,60 02 25 39,N/A,"ZOGBODOMEY, BP00"
10,SBS SA,Aciériste,"4,3 (4)",61 10 03 03,http://www.sbs-benin.com/,"PK 11,3 Route de Porto-Novo, Seme Podji, Djeffa, 05 BP 2365"
