index,name,activity,celebrity_indice,ic,phone_number,web_site,adresse
1,SImAU Sa,Promoteur immobilier,"3,8 (12)",45.6,21 31 54 01,http://www.simaubenin.com/,"Immeuble NSIA, 1066 Boulevard Saint Michel Carré 253, face CPA"
2,SIMAU,Administration,N/A N/A,0,N/A,N/A,9C5C+P3
