index,name,activity,celebrity_indice,phone_number,web_site,adresse
83,CHARM BOUTIQUE COTONOU,Boutique d'accessoires de mode,"5,0 (1)",97 42 11 42,N/A,146 Rue 4
84,Lagaitebijouterie,Bijouterie,N/A N/A,99 88 46 46,N/A,N/A
85,Amiota Luxe,Bijouterie,N/A N/A,67 45 43 15,N/A,67 45 43 15
86,BIJOUTERIE CHEZ TAO,Bijouterie,"5,0 (2)",96 54 55 80,N/A,Agla akplomey
87,Luxe'OR,Bijouterie,"5,0 (2)",50 12 54 99,N/A,768
88,Eden Trends Bj,Bijouterie,"5,0 (1)",96 76 94 22,N/A,96 76 94 22
89,Luxury by kad,Bijouterie,"5,0 (1)",99 77 12 77,N/A,0000
90,Michell'in,Bijoutier,"3,5 (2)",94 47 83 23,N/A,"9CF3+294, Rue 148"
91,Kimelo Accessoires,Boutique d'accessoires de mode,"4,8 (9)",98 00 69 98,N/A,04BP125
92,Bijouterie Lingot d'Or,Bijouterie,"4,5 (19)",98 58 94 85,N/A,"Sainte rita 100 mètre avant le feu de la station total en quittant gbèdjromèdé 774, Rue 150"
93,Départ au bord de la voie,Bijouterie,N/A N/A,https://www.google.com/maps/place/D%C3%A9part+au+bord+de+la+voie/data=!4m7!3m6!1s0x102357ac9bc34261:0xfe9b919a0f3d2f9d!8m2!3d6.3893488!4d2.3730824!16s%2Fg%2F11t27r846y!19sChIJYULDm6xXIxARnS89D5qRm_4?authuser=0&hl=fr&rclk=1,N/A,99QF+Q65
94,BIJOUTERIE AMOUR D'OR,Bijouterie,"4,6 (14)",61 31 14 21,N/A,99R8+R2
