index,name,activity,celebrity_indice,phone_number,web_site,adresse
16,Cabinet d'avocats Me DAKO & Associés,Avocat,"5,0 (1)",https://www.google.com/maps/place/Cabinet+d%27avocats+Me+DAKO+%26+Associ%C3%A9s/data=!4m7!3m6!1s0x102355dc066043eb:0xbbe573a26c70ace!8m2!3d6.3685208!4d2.4106189!16s%2Fg%2F11tj929kvn!19sChIJ60NgBtxVIxARzgrHJjpXvgs?authuser=0&hl=fr&rclk=1,N/A,Rue 616
17,John Biko Associates,Avocat.e en droit civil,N/A N/A,96 02 32 51,N/A,"akpakpa, c/118"
18,Me baparapé,Cabinet d'avocats,"5,0 (2)",97 68 49 31,N/A,"maison gnimassou, 04BP181 Bénin"
19,Tribunal de Première Instance de Cotonou,Tribunal,"3,7 (547)",99 31 96 04,N/A,Rue 362
20,Maître Mariel Christian Gansou (Cabinet d'avocat GMC),Cabinet d'avocats,"4,0 (1)",91 40 75 75,N/A,04 BP 0608
21,Cabinet de Me Gracia Noutais Holo,Avocat plaidant,"5,0 (1)",21 30 23 00,N/A,21 30 23 00
22,Cabinet d'avocats Jean Claude Gbogblenou,Avocat,N/A N/A,90 92 69 64,N/A,04BP622 Cadjèhoun
23,001 AANDREW LAW FIRM,Cabinet d'avocats,"5,0 (1)",98 35 13 22,http://001aandrewlawfirm.uk.ht/,9F6H+FRM
24,Cabinet de Maître DATO,Cabinet d'avocats,"5,0 (2)",97 20 30 80,N/A,99GP+HW4
25,Attorney Frank Dumba,Avocat,"5,0 (1)",62 80 19 78,N/A,Benin Republic
26,Cabinet me SAÏZONOU,Avocat plaidant,N/A N/A,https://www.google.com/maps/place/Cabinet+me+SA%C3%8FZONOU/data=!4m7!3m6!1s0x102355f86062cc0b:0xbe8123df30740587!8m2!3d6.3554498!4d2.4205211!16s%2Fg%2F11tt23zlk9!19sChIJC8xiYPhVIxARhwV0MN8jgb4?authuser=0&hl=fr&rclk=1,N/A,9C4C+562
27,CABINET D'AVOCATS JRG LAW FIRM,Avocat,N/A N/A,97 50 58 73,https://www.jrghoklawfirm.com/,02 BP 505
28,GMC AVOCAT,Avocat,N/A N/A,91 40 75 75,N/A,9C66+3MR
29,Fattika & Associates Law Firm,Services juridiques,N/A N/A,56 73 93 48,https://fattikaassociates.com/,9C8X+WWX
30,Cabinet d'avocats - Maître Bidossessi AGBANI,Cabinet d'avocats,"4,0 (1)",95 52 81 38,N/A,01BP5050
31,Cabinet d'avocat Me Alfred Mahugnon BOCOVO,Administration,N/A N/A,52 91 25 58,N/A,"9C3J+R3X, Rue du Gouverneur Fourn"
32,CASSA ANANI Cabinet,Cabinet d'avocats,"5,0 (1)",https://www.google.com/maps/place/CASSA+ANANI+Cabinet/data=!4m7!3m6!1s0x102355c93333ccdf:0xedd8ea6bfc06c2a2!8m2!3d6.3814266!4d2.4009246!16s%2Fg%2F11jkx64mhc!19sChIJ38wzM8lVIxARosIG_Gvq2O0?authuser=0&hl=fr&rclk=1,N/A,9CJ2+H9F
33,Juripoint - Benin,Avocat en droit de l'immigration,N/A N/A,65 91 25 94,https://juripoint.com/fr/accueil/,Immeuble Chirad & Fils
34,Cabinet d'avocat Maitre Raymond Cyr Ségla GBESSEMEHLAN,Avocat généraliste,N/A N/A,21 07 50 37,N/A,"998W+GX7, 03 BP 4321"
35,Étude de Maître DA SILVA - Notaire,Notaire,"3,8 (20)",97 46 91 25,https://etude-de-maitre-da-silva.business.site/,Etoile rouge
36,Daouda Adimou,Avocat,N/A N/A,69 69 98 94,N/A,99WW+7RC
37,CABINET NOTARIAL,Avocat généraliste,"1,0 (1)",https://www.google.com/maps/place/CABINET+NOTARIAL/data=!4m7!3m6!1s0x102357f4ca78bda9:0x64ee5e80fa9d0765!8m2!3d6.357336!4d2.3733522!16s%2Fg%2F11rshbv3bw!19sChIJqb14yvRXIxARZQed-oBe7mQ?authuser=0&hl=fr&rclk=1,N/A,BP 023
38,001 AANDREW LAW FIRM,Cabinet d'avocats,"5,0 (1)",98 35 13 22,http://001aandrewlawfirm.uk.ht/,9C53+VJ4
39,Immeuble providence cabinet HOUGBEDJI,Avocat,"4,0 (1)",https://www.google.com/maps/place/Immeuble+providence+cabinet+HOUGBEDJI/data=!4m7!3m6!1s0x1023575c3326cc23:0xbf8664374b8b811b!8m2!3d6.3822888!4d2.3723959!16s%2Fg%2F11fn46_v1k!19sChIJI8wmM1xXIxARG4GLSzdkhr8?authuser=0&hl=fr&rclk=1,N/A,"99JC+WX6, Unnamed Road"
40,贝宁律所,Cabinet d'avocats,N/A N/A,https://www.google.com/maps/place/%E8%B4%9D%E5%AE%81%E5%BE%8B%E6%89%80/data=!4m7!3m6!1s0x102355489fca33e7:0x56562cf28206eb00!8m2!3d6.3631156!4d2.4339924!16s%2Fg%2F11ssz8xf25!19sChIJ5zPKn0hVIxARAOsGgvIsVlY?authuser=0&hl=fr&rclk=1,N/A,9C7M+7JF
41,HEC Avocats,Cabinet d'avocats,N/A N/A,97 54 38 95,http://hecavocats.com/,"1966 Zogbo, Immeuble AMETEPE, 2ème étage, avenue du Renouveau Quartier"
42,Aabaad Law Firm,Cabinet d'avocats,"4,0 (1)",99 60 86 22,http://aabaadlawfirm.uk.ht/,Carré n°230
43,Akayi Date Law Firm,Cabinet d'avocats,"4,0 (4)",N/A,https://www.akayidatelaw.com/,Rue 2112
44,Marin mougle,Avocat généraliste,N/A N/A,98 53 47 30,N/A,99CR+4F9
45,MZ LAW & Associates,Cabinet d'avocats,N/A N/A,51 88 31 24,N/A,"9C78+3QG, Rue 601"
46,Cabinet Me Aline ODJE,Cabinet d'avocats,N/A N/A,95 84 37 30,N/A,9937+5G7
47,Cabinet d'avocat Nicole Mègnon YEDE,Cabinet d'avocats,N/A N/A,https://www.google.com/maps/place/Cabinet+d%27avocat+Nicole+M%C3%A8gnon+YEDE/data=!4m7!3m6!1s0x1023576b1ca59a55:0x305f0dbd6f593e46!8m2!3d6.3765363!4d2.3374996!16s%2Fg%2F11s2q6z2gw!19sChIJVZqlHGtXIxARRj5Zb70NXzA?authuser=0&hl=fr&rclk=1,N/A,98HR+3JX
48,SCPA 2H,Cabinet d'avocats,"5,0 (1)",https://www.google.com/maps/place/SCPA+2H/data=!4m7!3m6!1s0x10235759e8c5028f:0x33bda683d1877802!8m2!3d6.3822329!4d2.3723659!16s%2Fg%2F11t9h5j8cn!19sChIJjwLF6FlXIxARAniH0YOmvTM?authuser=0&hl=fr&rclk=1,N/A,99JC+WX6
49,Étude de maître DJOSSOUVI,Notaire,N/A N/A,https://www.google.com/maps/place/%C3%89tude+de+ma%C3%AEtre+DJOSSOUVI/data=!4m7!3m6!1s0x10235593d6b210d5:0xc7239e8ecf22ed25!8m2!3d6.3684255!4d2.4473407!16s%2Fg%2F11q967x3dt!19sChIJ1RCy1pNVIxARJe0iz46eI8c?authuser=0&hl=fr&rclk=1,N/A,"9C9W+9WG, Rue 1211"
50,Société Civile Professionnelle d’Avocats - D2A ex CABINET D'AVOCAT DJOGBENOU Joseph,Siège social,N/A N/A,60 61 31 03,https://scpad2a.org/,02 BP 2053
