index,name,activity,celebrity_indice,phone_number,web_site,adresse
16,"BOULANGERIE-PÂTISSERIE ""LA MADELEINE""",Boulangerie,"4,2 (5)",https://www.google.com/maps/place/BOULANGERIE-P%C3%82TISSERIE+%22LA+MADELEINE%22/data=!4m7!3m6!1s0x102355df1426b447:0x49ff71297107cbea!8m2!3d6.3643088!4d2.3848245!16s%2Fg%2F11jwvz_tds!19sChIJR7QmFN9VIxAR6ssHcSlx_0k?authuser=0&hl=fr&rclk=1,N/A,997M+PWG
17,Boulangerie Notre Dame des Victoires,Boulangerie,"5,0 (1)",https://www.google.com/maps/place/Boulangerie+Notre+Dame+des+Victoires/data=!4m7!3m6!1s0x10235522c94f79df:0xb73c8a53049712b!8m2!3d6.3893832!4d2.3860083!16s%2Fg%2F11rf0d1qbd!19sChIJ33lPySJVIxARK3FJMKXIcws?authuser=0&hl=fr&rclk=1,N/A,99QP+QC2
18,Manne et gourmandise,Boulangerie,"3,9 (14)",https://www.google.com/maps/place/Manne+et+gourmandise/data=!4m7!3m6!1s0x102355575758977d:0x9c8e9b7678e15f3f!8m2!3d6.3618897!4d2.4342981!16s%2Fg%2F11sr344d8h!19sChIJfZdYV1dVIxARP1_heHabjpw?authuser=0&hl=fr&rclk=1,N/A,778 Boulevard Steinmetz
19,Pâtisserie Boulangerie,Boulangerie,N/A N/A,https://www.google.com/maps/place/P%C3%A2tisserie+Boulangerie/data=!4m7!3m6!1s0x102355cfd0ce3453:0x307b69e0364f4fb3!8m2!3d6.3740649!4d2.4420374!16s%2Fg%2F11sx0msdys!19sChIJUzTO0M9VIxARs09PNuBpezA?authuser=0&hl=fr&rclk=1,N/A,9CFR+JRJ
20,"Pâtisserie ""Le Nôtre""",Boulangerie,"3,8 (229)",https://www.google.com/maps/place/P%C3%A2tisserie+%22Le+N%C3%B4tre%22/data=!4m7!3m6!1s0x1023557e826a8cf3:0x248a397f27c40e17!8m2!3d6.388211!4d2.385781!16s%2Fg%2F11gmcc5jcq!19sChIJ84xqgn5VIxARFw7EJ385iiQ?authuser=0&hl=fr&rclk=1,N/A,"99QP+78J, Rue 2650"
21,Boulangerie Pain du Monde,Boulangerie,"4,0 (3)",https://www.google.com/maps/place/Boulangerie+Pain+du+Monde/data=!4m7!3m6!1s0x102355d3ad608959:0x1a4e06722042374a!8m2!3d6.3735465!4d2.4423666!16s%2Fg%2F11j3v9g59r!19sChIJWYlgrdNVIxARSjdCIHIGTho?authuser=0&hl=fr&rclk=1,N/A,"9CFR+CW9, Rue Bel Air"
22,baguettes magiques,Boulangerie,"5,0 (4)",https://www.google.com/maps/place/baguettes+magiques/data=!4m7!3m6!1s0x102355568710aaa9:0x1e516d1fe39b8f1a!8m2!3d6.3606073!4d2.4364024!16s%2Fg%2F11gtc1shgj!19sChIJqaoQh1ZVIxARGo-b4x9tUR4?authuser=0&hl=fr&rclk=1,N/A,9C6P+6HR
23,ASSANA FOOD - Pâtisserie Glacerie,Pâtisseries,"3,5 (2)",https://www.google.com/maps/place/ASSANA+FOOD+-+P%C3%A2tisserie+Glacerie/data=!4m7!3m6!1s0x102355116b020a11:0x2470dab96faf7206!8m2!3d6.3693436!4d2.428532!16s%2Fg%2F11mbmzgsvb!19sChIJEQoCaxFVIxARBnKvb7nacCQ?authuser=0&hl=fr&rclk=1,N/A,"9C9H+PCM, Rue 504"
24,LE PAIN DORÉ,Boulangerie,"5,0 (1)",https://www.google.com/maps/place/LE+PAIN+DOR%C3%89/data=!4m7!3m6!1s0x102355cc4931e71f:0x599f27bad0d0c901!8m2!3d6.3810216!4d2.4081383!16s%2Fg%2F11mqlqjh4z!19sChIJH-cxScxVIxARAcnQ0Lonn1k?authuser=0&hl=fr&rclk=1,N/A,"9CJ5+C72, Rue 333"
25,Délices de Nyora,Pâtisseries,"4,3 (32)",https://www.google.com/maps/place/D%C3%A9lices+de+Nyora/data=!4m7!3m6!1s0x102355ac92ed3eb3:0x78ed20ba4ffffc8f!8m2!3d6.3537335!4d2.3988115!16s%2Fg%2F11j0bw1dz6!19sChIJsz7tkqxVIxARj_z_T7og7Xg?authuser=0&hl=fr&rclk=1,N/A,"trésor public, trésor public, Carré 7007-12 cocotiers. Route de l'aéroport en face du"
